Ticker,Date,EPS_Estimate,Reported_EPS,EPS_Surprise,Earnings_Event,Positive_Earnings_Surprise,Negative_Earnings_Surprise
TCS,2007-07-16,3.79,3.07,-18.93,1,0,1
TCS,2007-10-15,3.12,3.2,2.33,1,1,0
TCS,2008-01-16,3.35,3.39,1.19,1,1,0
TCS,2008-04-21,3.52,3.18,-9.58,1,0,1
TCS,2008-07-16,3.23,3.18,-1.49,1,0,1
TCS,2008-10-22,3.53,3.22,-8.74,1,0,1
TCS,2009-01-15,3.68,3.46,-6.08,1,0,1
TCS,2009-04-20,3.32,3.36,1.19,1,1,0
TCS,2009-07-17,3.55,3.92,10.39,1,1,0
TCS,2009-10-16,3.76,4.19,11.36,1,1,0
TCS,2010-01-15,4.11,4.59,11.63,1,1,0
TCS,2010-04-19,4.61,5.08,10.17,1,1,0
TCS,2010-07-16,4.67,4.86,3.92,1,1,0
TCS,2010-10-21,5.05,5.53,9.56,1,1,0
TCS,2011-01-17,5.53,6.04,9.27,1,1,0
TCS,2011-04-21,6.07,6.71,10.56,1,1,0
TCS,2011-07-14,5.87,6.16,4.99,1,1,0
TCS,2011-10-17,6.44,6.42,-0.37,1,0,1
TCS,2012-01-18,7.65,7.38,-3.59,1,0,1
TCS,2012-04-23,7.5,7.35,-2.0,1,0,1
TCS,2012-07-12,7.9,8.46,7.12,1,1,0
TCS,2012-10-19,8.62,8.76,1.54,1,1,0
TCS,2013-01-14,8.66,9.05,4.47,1,1,0
TCS,2013-04-17,9.24,9.23,-0.07,1,0,1
TCS,2013-07-18,9.55,9.77,2.3,1,1,0
TCS,2013-10-15,11.35,11.82,4.1,1,1,0
TCS,2014-01-16,13.12,13.6,3.66,1,1,0
TCS,2014-04-16,13.29,13.64,2.63,1,1,0
TCS,2014-07-17,12.3,13.24,7.61,1,1,0
TCS,2014-10-16,13.77,13.39,-2.78,1,0,1
TCS,2015-01-15,14.12,13.6,-3.65,1,0,1
TCS,2015-04-16,13.8,14.58,5.65,1,1,0
TCS,2015-07-09,13.7,14.51,5.88,1,1,0
TCS,2015-10-13,15.18,15.44,1.71,1,1,0
TCS,2016-01-12,15.14,15.44,1.96,1,1,0
TCS,2016-04-18,15.75,16.27,3.31,1,1,0
TCS,2016-07-14,15.49,16.03,3.49,1,1,0
TCS,2016-10-13,15.83,16.72,5.59,1,1,0
TCS,2017-01-12,16.44,17.2,4.6,1,1,0
TCS,2017-04-18,16.87,16.76,-0.64,1,0,1
TCS,2017-07-13,15.9,15.2,-4.42,1,0,1
TCS,2017-10-12,16.34,16.84,3.01,1,1,0
TCS,2018-01-11,17.05,17.06,0.04,1,1,0
TCS,2018-04-19,17.75,18.04,1.6,1,1,0
TCS,2018-07-10,18.25,19.17,5.04,1,1,0
