Date,Ticker,Split,Days_Since_Earnings,Target,Predicted_Label,Confidence,Primary_Driver,Internal_Magnitude,External_Magnitude,Total_Magnitude,Internal_Percentage,External_Percentage,Top_Internal_Feature,Top_Internal_SHAP,Top_External_Feature,Top_External_SHAP
2025-02-24,TCS,Test,46,0,BUY,0.4625,EXTERNAL,0.089916,1.164906,1.254821,7.17,92.83,Reported_EPS,-0.033147,SMA20_to_SMA50,0.155038
2025-02-25,INFY,Test,40,0,HOLD,0.5286,EXTERNAL,0.076799,0.651985,0.728784,10.54,89.46,Days_Since_Earnings,0.032585,VIX_Level,0.2138
2025-02-25,RELIANCE,Test,40,0,BUY,0.5118,EXTERNAL,0.099344,1.035044,1.134388,8.76,91.24,Days_Since_Earnings,-0.023484,Close_to_SMA200,0.376423
2025-02-25,TCS,Test,47,0,HOLD,0.4507,EXTERNAL,0.22283,1.097175,1.320005,16.88,83.12,Reported_EPS,0.155288,VIX_Level,0.256055
2025-02-27,INFY,Test,42,0,HOLD,0.4383,EXTERNAL,0.080428,0.56871,0.649138,12.39,87.61,Days_Since_Earnings,0.027013,VIX_Level,0.140515
2025-02-27,RELIANCE,Test,42,1,BUY,0.4111,EXTERNAL,0.10179,0.830233,0.932023,10.92,89.08,EPS_Estimate,-0.022904,Close_to_SMA200,0.182966
2025-02-27,TCS,Test,49,1,HOLD,0.4339,EXTERNAL,0.258044,1.155274,1.413318,18.26,81.74,Reported_EPS,0.195736,VIX_Level,0.237064
2025-02-28,INFY,Test,43,1,HOLD,0.3824,EXTERNAL,0.071419,1.218283,1.289702,5.54,94.46,Days_Since_Earnings,0.024711,VIX_Level,0.243505
2025-02-28,RELIANCE,Test,43,2,BUY,0.4924,EXTERNAL,0.083006,1.011267,1.094273,7.59,92.41,EPS_Estimate,-0.023949,Close_to_SMA200,0.324397
2025-02-28,TCS,Test,50,2,BUY,0.4443,EXTERNAL,0.066706,1.28502,1.351725,4.93,95.07,Reported_EPS,-0.030401,Close_to_SMA200,0.321574
2025-03-03,INFY,Test,46,1,HOLD,0.3603,EXTERNAL,0.080569,0.842458,0.923028,8.73,91.27,Days_Since_Earnings,0.028393,VIX_Level,0.206314
2025-03-03,RELIANCE,Test,46,2,BUY,0.441,EXTERNAL,0.089998,1.027298,1.117296,8.05,91.95,EPS_Estimate,-0.024772,Close_to_SMA200,0.427685
2025-03-03,TCS,Test,53,2,BUY,0.4455,EXTERNAL,0.075268,1.256252,1.33152,5.65,94.35,Reported_EPS,-0.039032,Close_to_SMA200,0.309905
2025-03-04,INFY,Test,47,1,BUY,0.3925,EXTERNAL,0.076415,0.871293,0.947709,8.06,91.94,Days_Since_Earnings,-0.028215,VIX_Level,-0.119585
2025-03-04,RELIANCE,Test,47,2,HOLD,0.4375,EXTERNAL,0.080373,0.788139,0.868512,9.25,90.75,Days_Since_Earnings,0.029108,VIX_Level,0.216117
2025-03-04,TCS,Test,54,1,BUY,0.5428,EXTERNAL,0.07243,1.470969,1.543399,4.69,95.31,Days_Since_Earnings,-0.03084,Close_to_SMA200,0.423505
